,,,,,,,,,,,,,,,
,,Austin,Bexar,Cactus,Diablo,Essex,Folsom,Grizzly,Havana,Icehouse,Juno,Kilo,Liberty,Mitaka,"Newton (if needed)"
"Monday June 1","13UTC - 14UTC",InteropWG,QA,,OpenDev,,RelMgmt,Horizon,Kolla,Heat,,,,TripleO,
,"14UTC - 15UTC",InteropWG,QA,Manila,OpenDev,"Edge Computing Group",Glance,Horizon,Kolla,Heat,,,Swift,TripleO,
,"15UTC - 16UTC",,"Scientific SIG",Manila,"Security SIG","Edge Computing Group",Glance,Oslo,Kolla,Heat,SDK/CLI,,Swift,TripleO,
,"16UTC - 17UTC","OSF D&I WG","Scientific SIG",Manila,"Security SIG",,Glance,Oslo,Kolla,Heat,SDK/CLI,,,TripleO,
,,,,,,,,,,,,,,,
,"21UTC - 22UTC",,"Scientific SIG",,"Security SIG",,,,,,,,,,
,"22-UTC - 23UTC",,"Scientific SIG",,"Security SIG",,,,,,,StarlingX,,,
,"23UTC - 0UTC","First Contact SIG",OpenDev,,,,,,,,,StarlingX,,,
"Tuesday June 2","0UTC - 1UTC",,OpenDev,,,,,,,,,StarlingX,,TripleO-Q&A,
,,,,,,,,,,,,,,,
,"4UTC - 5UTC",,,,,,,,,,"Kata Containers",,,,
,"5UTC - 6UTC",,,,,,,,,,"Kata Containers",,,,
,"6UTC - 7UTC",Tacker,Blazar,Cyborg,,,,,,"Multi-Arch SIG","Kata Containers",,,,
,"7UTC - 8UTC",Tacker,Blazar,Cyborg,,,Monasca,Horizon,,"Multi-Arch SIG","Kata Containers",,,,
,,,,,,,,,,,,,,,
,"13UTC - 14UTC",OpenStack-Helm,OpenStack-Ansible,"Edge Computing Group",Cinder,Neutron,Monasca,QA,Kolla,Blazar,"Kata Containers",Octavia,Swift,TripleO,
,"14UTC - 15UTC",OpenStack-Helm,OpenStack-Ansible,"Edge Computing Group",Cinder,Neutron,Monasca,QA,Kolla,"Multi-Arch SIG","Kata Containers",Octavia,Ironic,TripleO,
,"15UTC - 16UTC",OpenStack-Helm,OpenStack-Ansible,Manila,Cinder,Neutron,Monasca,TC,Kolla,"Multi-Arch SIG","Kata Containers",Octavia,Ironic,TripleO,
,"16UTC - 17UTC",OpenStack-Helm,OpenStack-Ansible,Manila,,,Monasca,TC,Kolla,,"Kata Containers",Octavia,"API SIG",TripleO,
,,,,,,,,,,,,,,,
,"21 UTC - 22UTC",Glance,,Manila,,,,,,,"Kata Containers",,,,
,"22UTC - 23UTC",Glance,,Manila,,,,,,,"Kata Containers",StarlingX,,,
,"23UTC - 0UTC",Glance,,,,,,,,,"Kata Containers",StarlingX,,,
"Wednesday June 3","0UTC - 1UTC",,,,,,,,,,"Kata Containers",StarlingX,,TripleO-Q&A,
,,,,,,,,,,,,,,,
,"4UTC - 5UTC",,OpenDev,,,,,,,,,,,,
,"5UTC - 6UTC",,OpenDev,,,,,,,,,,,,
,"6UTC - 7UTC",Tacker,,Cyborg,,,,,,,,,,,
,"7UTC - 8UTC",Tacker,,Cyborg,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"13UTC - 14UTC",OpenStack-Helm,,"Edge Computing Group",Cinder,Neutron,,TC,Kolla,Heat,Nova,Octavia,,TripleO,
,"14UTC - 15UTC",OpenStack-Helm,,"Edge Computing Group",Cinder,Neutron,Charms,TC,Kolla,Heat,Nova,Octavia,Ironic,TripleO,
,"15UTC - 16UTC",OpenStack-Helm,SDK/CLI,"Edge Computing Group",Cinder,Neutron,Charms,TC,Opsmeetup,Heat,,Octavia,Ironic,TripleO,
,"16UTC - 17UTC",OpenStack-Helm,SDK/CLI,,,,Charms,TC,Opsmeetup,Heat,,Octavia,,TripleO,
,,,,,,,,,,,,,,,
,"21 UTC - 22UTC",Glance,OpenStack-Ansible,Magnum,,,,Horizon,,,,,Swift,,
,"22-UTC - 23UTC",Glance,OpenStack-Ansible,Magnum,,,,,,,,,Swift,,
,"23UTC - 0UTC",Glance,OpenStack-Ansible,Magnum,,,,,,,,,,,
"Thursday June 4","0UTC - 1UTC",,OpenStack-Ansible,,,,,,,,,,,TripleO-Q&A,
,,,,,,,,,,,,,,,
,"4UTC - 5UTC",,,,,,,,,,,,,,
,"5UTC - 6UTC",,,,,,,,,,,,,,
,"6UTC - 7UTC",,,Cyborg,,,,,,"Multi-Arch SIG",,,,,
,"7UTC - 8UTC",,,Cyborg,,,,,,"Multi-Arch SIG",,,,,
,,,,,,,,,,,,,,,
,"13UTC - 14UTC",Airship,"OpenStack User Committee",Blazar,Cinder,Neutron,Barbican,Keystone,,"Automation SIG",Nova,StarlingX,,TripleO,
,"14UTC - 15UTC",Airship,"OpenStack User Committee",Blazar,Cinder,Neutron,Barbican,Keystone,Charms,"Automation SIG",Nova,StarlingX,Ironic,TripleO,
,"15UTC - 16UTC",Airship,,OpenStackAnsibleModules,Cinder,Neutron,Barbican,Keystone,Charms,"Automation SIG",,StarlingX,Ironic,TripleO,
,"16UTC - 17UTC",Airship,,OpenStackAnsibleModules,,,Barbican,Keystone,Charms,,,,,TripleO,
,,,,,,,,,,,,,,,
,"21UTC - 22UTC",,,,,,Glance,,,,,,Swift,,
,"22UTC - 23UTC",,,,,,Glance,,,,,,Swift,,
,"23UTC - 0UTC",,,,,,Glance,,,,,,,,
"Friday June 5","0UTC - 1UTC",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"4UTC - 5UTC",,,,,,,,,,,,,,
,"5UTC - 6UTC",,,,,,,,,,,,,,
,"6UTC - 7UTC",,Cyborg,,,,,,,,,,,,
,"7UTC - 8UTC",,Cyborg,OpenStackAnsibleModules,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"13UTC - 14UTC",Airship,,,Cinder,Neutron,Glance,Keystone,,,Nova,,,,
,"14UTC - 15UTC",Airship,,Manila,Cinder,Neutron,Glance,Keystone,,,Nova,,Ironic,,
,"15UTC - 16UTC",Airship,,Manila,Cinder,,Glance,Keystone,TC,,,,Ironic,,
,"16UTC - 17UTC",Airship,,"Manila (Happy Hour)",,,,Keystone,TC,,,,,,
